"","old","new"
"1","tbodyacc-mean()-x","timebodyaccelerometermean-x"
"2","tbodyacc-mean()-y","timebodyaccelerometermean-y"
"3","tbodyacc-mean()-z","timebodyaccelerometermean-z"
"4","tbodyacc-std()-x","timebodyaccelerometerstd-x"
"5","tbodyacc-std()-y","timebodyaccelerometerstd-y"
"6","tbodyacc-std()-z","timebodyaccelerometerstd-z"
"7","tgravityacc-mean()-x","timegravityaccelerometermean-x"
"8","tgravityacc-mean()-y","timegravityaccelerometermean-y"
"9","tgravityacc-mean()-z","timegravityaccelerometermean-z"
"10","tgravityacc-std()-x","timegravityaccelerometerstd-x"
"11","tgravityacc-std()-y","timegravityaccelerometerstd-y"
"12","tgravityacc-std()-z","timegravityaccelerometerstd-z"
"13","tbodyaccjerk-mean()-x","timebodyaccelerometerjerkmean-x"
"14","tbodyaccjerk-mean()-y","timebodyaccelerometerjerkmean-y"
"15","tbodyaccjerk-mean()-z","timebodyaccelerometerjerkmean-z"
"16","tbodyaccjerk-std()-x","timebodyaccelerometerjerkstd-x"
"17","tbodyaccjerk-std()-y","timebodyaccelerometerjerkstd-y"
"18","tbodyaccjerk-std()-z","timebodyaccelerometerjerkstd-z"
"19","tbodygyro-mean()-x","timebodygyroscopemean-x"
"20","tbodygyro-mean()-y","timebodygyroscopemean-y"
"21","tbodygyro-mean()-z","timebodygyroscopemean-z"
"22","tbodygyro-std()-x","timebodygyroscopestd-x"
"23","tbodygyro-std()-y","timebodygyroscopestd-y"
"24","tbodygyro-std()-z","timebodygyroscopestd-z"
"25","tbodygyrojerk-mean()-x","timebodygyroscopejerkmean-x"
"26","tbodygyrojerk-mean()-y","timebodygyroscopejerkmean-y"
"27","tbodygyrojerk-mean()-z","timebodygyroscopejerkmean-z"
"28","tbodygyrojerk-std()-x","timebodygyroscopejerkstd-x"
"29","tbodygyrojerk-std()-y","timebodygyroscopejerkstd-y"
"30","tbodygyrojerk-std()-z","timebodygyroscopejerkstd-z"
"31","tbodyaccmag-mean()","timebodyaccelerometermagnitudemean"
"32","tbodyaccmag-std()","timebodyaccelerometermagnitudestd"
"33","tgravityaccmag-mean()","timegravityaccelerometermagnitudemean"
"34","tgravityaccmag-std()","timegravityaccelerometermagnitudestd"
"35","tbodyaccjerkmag-mean()","timebodyaccelerometerjerkmagnitudemean"
